VideoID,Yellow,Orange,Red,Violet,Blue,Green,Black,White,Brown,Cluster,View Count,Like Count,Comment Count,Channel Title,Channel_Weight
V4TxG7fVYUo,0.0,0.65,0.09,27.11,0.68,0.0,29.86,10.26,31.35,7,195038,5670,189,Waleska Herrera,2.7501603835929242e-05
v5AZyo6G2eE,0.12,1.52,16.34,15.02,1.21,1.05,10.93,11.49,42.32,4,14441,102,57,The Love Train Nation,0.0001441463373469395
v8RYbc8PvuY,0.05,4.97,0.0,7.53,0.0,0.0,46.25,3.58,37.62,6,1806,55,25,Travelling Sticks,0.0010450609457653113
VA36h1gjHg8,0.04,2.53,0.06,28.25,0.19,0.0,8.81,26.42,33.7,2,21578,1729,150,Kenzo Martini,0.0010450609457653113
VAmLydvgvlI,0.0,0.53,0.97,18.58,0.56,0.0,35.04,4.87,39.45,1,3510,156,8,The Demouchets REACT,0.0002458966931212497
vbCWfYUqZIg,0.43,8.37,0.0,16.51,1.78,0.0,22.54,1.82,48.55,1,135671,7492,569,TriFate Lifestyle,0.0002458966931212497
VbOmWcb5_B0,0.0,0.69,0.0,35.25,0.64,0.0,15.8,28.78,18.84,2,2638,165,41,Pinoy Planet,4.644715314512495e-05
VBpyfBGjHJQ,4.06,6.16,0.02,17.97,0.9,0.0,14.13,14.32,42.44,1,283568,12248,1722,KIM n LEE,0.0001441463373469395
VccHOpKy06Q,0.03,0.29,0.0,51.96,1.18,0.0,4.82,21.02,20.7,7,128318,2694,442,Harees Ameerali - Royal Sky Holidays,0.00046447153145124943
vCXiadRSUBQ,3.97,5.2,0.0,12.99,8.84,0.0,27.15,10.2,31.65,1,79473,1679,276,Maman Sudirman,0.0020901218915306227
VD5E8E_6jPk,0.06,9.05,0.0,26.58,30.13,0.0,0.79,19.05,14.34,3,3719,370,45,Hobo Ventures,0.0006967072971768742
VDeri66Gw5k,0.03,2.75,0.0,28.44,0.4,0.01,19.67,12.65,36.05,7,360267,10440,282,Waleska Herrera,2.7501603835929242e-05
VDk96ErSKjk,0.41,2.36,0.45,24.97,9.85,0.0,32.92,7.04,22.0,7,209319,9622,824,JUICY REACTS,0.00016720975132244982
vDyDvo-4tg0,0.05,0.86,0.0,15.99,0.0,0.0,24.11,15.28,43.71,1,46219,2691,75,Gio,0.0013934145943537484
vE-aYCxIRaQ,0.93,27.8,0.0,11.38,0.0,0.0,11.96,24.82,23.11,0,7521,237,7,Nic & Rei,0.00013484657364713694
ve-gGv0VjDM,3.41,16.32,0.0,12.26,1.08,0.18,24.86,7.41,34.48,0,39767,1864,247,Ken Abroad,0.00015482384381708316
