VideoID,Yellow,Orange,Red,Violet,Blue,Green,Black,White,Brown,Cluster
3TxugOC8su0.jpg,0.93,2.75,0.0,37.65,0.06,0.03,8.87,10.03,39.68,7
3uEH8rj5cw8.jpg,0.01,0.91,0.0,10.48,0.89,0.0,28.89,4.38,54.44,1
3UI99FyrUc4.jpg,3.82,8.95,3.43,14.33,1.74,0.02,31.79,3.05,32.87,0
3uOf_FMbW54.jpg,0.0,4.25,0.04,15.68,0.01,0.0,27.94,40.77,11.31,2
3uSIf529AOg.jpg,0.72,11.41,3.86,20.61,0.48,0.0,17.54,16.75,28.63,0
3vouclvykqE.jpg,0.0,0.05,0.0,13.2,1.84,0.32,41.37,11.56,31.66,6
3wP6uF6KEU4.jpg,0.45,0.27,0.0,55.97,2.65,0.0,13.83,9.28,17.55,7
3x5rJk4R4gE.jpg,0.11,0.44,0.0,19.42,0.18,0.0,3.99,52.59,23.27,2
3xy9jS1KwvY.jpg,0.03,1.7,0.03,24.49,2.93,2.98,11.94,13.66,42.24,1
3y0EwY-WGBQ.jpg,0.73,15.34,0.03,17.8,0.91,0.58,16.32,31.16,17.13,0
3_ms_C3ElA0.jpg,0.0,0.37,0.0,27.48,0.0,0.0,30.56,9.7,31.89,7
401ZvQ11euA.jpg,0.0,0.23,2.0,14.4,40.07,0.0,9.84,18.0,15.46,3
41WyfyapTw0.jpg,0.0,0.05,3.3,10.1,19.85,0.0,34.1,9.09,23.51,3
42sibaGVjY8.jpg,0.02,0.92,0.4,31.87,0.49,2.24,20.82,4.63,38.61,7
42t6Jk4JXrA.jpg,8.53,1.63,0.0,17.4,0.05,1.33,21.72,19.54,29.8,8
43SNx2y2Zt0.jpg,0.07,0.03,0.0,15.86,10.77,0.01,28.64,3.83,40.79,1
45j2p4FEI_o.jpg,0.0,0.1,6.37,29.38,0.0,0.0,14.1,18.56,31.49,7
45MuxKYi-t0.jpg,0.14,1.73,0.71,24.45,0.13,0.0,18.29,14.88,39.67,1
45nukMR5A_c.jpg,0.0,0.62,0.0,22.03,2.29,0.41,23.28,21.59,29.78,7
479RSxJ3Ml4.jpg,4.52,8.28,0.62,23.73,1.36,0.0,13.84,19.12,28.53,0
49-rTbR5bss.jpg,0.07,0.06,0.76,31.24,1.82,0.0,14.75,21.91,29.39,7
4cCKve0dl3Y.jpg,0.0,5.39,0.0,19.97,0.0,0.0,23.51,7.94,43.19,1
4CIjiNM_p6M.jpg,0.0,0.73,0.01,5.35,0.0,0.0,56.95,9.11,27.85,6
4DEqwJI-vdg.jpg,6.02,6.2,1.94,22.38,0.05,0.0,9.44,14.36,39.61,8
4Fge8RG2zYU.jpg,0.0,1.05,0.0,16.82,6.15,20.4,26.23,7.19,22.16,5
4gZVxxSeAn0.jpg,0.0,1.37,0.0,9.53,0.0,9.35,55.6,8.23,15.92,5
4JyhBkXMymo.jpg,0.0,1.58,0.0,22.9,0.0,0.0,24.32,7.29,43.91,1
4j_8rEyYEXw.jpg,0.0,1.6,0.0,35.78,0.0,0.0,14.06,29.36,19.2,2
4kXOQ2NOkxY.jpg,0.0,0.0,4.87,21.31,0.0,0.0,13.97,3.78,56.07,1
