VideoID,Yellow,Orange,Red,Violet,Blue,Green,Black,White,Brown,Cluster,colorfulness,brightness,saturation
EVaPduUL7lQ.jpg,0.12,5.11,0.79,13.32,1.95,0.0,55.47,5.46,17.78,6,80.23520818556352,66.7315221726161,0.4438372850418091
evIUyVRHfIc.jpg,0.33,12.19,0.04,21.02,0.2,0.18,5.14,16.77,44.13,0,74.94239014665547,128.34117305872883,0.35932162404060364
evTFGDVlQ4s.jpg,0.14,1.1,0.1,22.09,1.38,0.5,26.18,8.71,39.8,1,55.90056018328781,95.05191211792534,0.34686511754989624
Ew2DhMIdzF4.jpg,0.0,0.0,0.0,31.66,15.96,0.0,19.85,14.61,17.92,3,82.41982588812648,110.18800059069383,0.42985105514526367
EW_xym12SoY.jpg,6.14,9.94,3.04,10.6,12.15,0.0,17.2,2.22,38.71,8,104.23035245926049,97.84319264274565,0.6227833032608032
exB--zv3N4U.jpg,4.21,6.27,0.69,8.63,4.01,0.0,33.84,12.32,30.03,6,80.57049657810013,90.887746307456,0.5317589044570923
eYvf1qMp5pQ.jpg,0.18,5.67,0.38,51.81,0.57,0.0,1.98,18.91,20.5,7,56.253891230021814,144.13800853486222,0.23554609715938568
eyydfWC9N_w.jpg,1.43,0.96,0.76,12.18,0.75,0.0,35.26,5.09,43.57,1,48.62849468256601,77.99931205400019,0.3194572925567627
Ezn90OendIo.jpg,2.59,8.5,0.16,20.9,0.39,0.0,29.29,15.55,22.62,0,81.95913863833199,108.38577711420835,0.3796568810939789
f0rq_-Wupeg.jpg,3.38,11.75,0.0,22.49,0.0,0.0,11.74,2.53,48.11,0,64.78791022081899,111.04502586200267,0.41793906688690186
f16ujuGgXOo.jpg,2.09,2.0,0.0,19.76,11.92,16.09,19.98,9.54,18.62,5,111.47180221417058,110.96737688088511,0.6297807693481445
f3uXJY4HiIk.jpg,0.57,2.87,0.01,18.94,3.02,0.0,23.95,12.92,37.72,1,58.7707946256725,98.96138181391852,0.3448910117149353
F4A56Fm9eLY.jpg,0.06,1.56,0.69,9.94,0.84,0.0,29.67,3.8,53.44,1,49.57026627622594,79.39725466350383,0.3631908595561981
f4AsvKY-wBk.jpg,0.0,8.32,0.3,29.56,0.0,0.0,5.8,31.53,24.49,2,59.723410726537416,144.36238772498953,0.38707247376441956
F59W77FEm8c.jpg,0.0,0.01,0.0,32.99,0.11,0.0,7.57,31.22,28.1,2,66.04147706543073,137.2530443532616,0.23311911523342133
f5fD_oFGdzU.jpg,14.42,6.36,4.67,18.44,1.3,0.0,4.43,32.21,18.17,8,99.38501599610213,156.01811116417693,0.38955259323120117
F5yCChwGHzM.jpg,6.95,4.13,0.17,22.99,4.62,0.3,14.18,15.15,31.51,8,77.99626329674301,118.4966969835148,0.4219359755516052
F6it4K33C-o.jpg,1.59,5.93,0.02,28.81,2.12,0.0,15.06,14.53,31.94,7,63.10920738087946,120.00719764529191,0.2974013686180115
f6UXRBaKPU0.jpg,0.19,4.5,4.0,22.45,7.0,0.0,23.49,13.17,25.2,7,90.44771170019072,105.770422416542,0.3966720998287201
f706f6KNCEM.jpg,0.01,5.67,3.9,16.5,3.8,0.0,39.27,20.54,10.31,6,78.03129412024819,107.99605964371865,0.5964177250862122
F8BtVioDCn0.jpg,0.0,0.33,0.0,1.17,0.0,0.15,90.24,0.03,8.08,6,17.462012316128526,19.344775905307813,0.2847059667110443
F9z7b9ei2Lg.jpg,0.68,0.47,0.0,14.8,0.1,0.0,19.66,4.86,59.43,1,56.68341856959774,88.37183885200048,0.3946382999420166
fA0m-LaA_7c.jpg,0.1,2.36,0.22,12.87,0.0,1.5,32.71,10.92,39.32,1,73.23517024727903,86.40402321040169,0.5050087571144104
FAHL0cT3GjQ.jpg,0.0,0.0,0.02,11.52,4.05,0.0,60.39,7.82,16.2,6,52.817026357699895,60.93370987332755,0.5635855197906494
