Video ID,View Count,Like Count,Comment Count
MjF1C6lvWI4,90917,3001,856
PB19pMM-JDk,28197,1274,191
MTf_lXqUjmg,60042,3419,294
sxYh8WljJ8g,287905,5310,1190
9xVyI9F6lK4,83969,1121,0
2KKLSVvdAu4,86819,1870,363
6jltQMIWBek,3572,109,0
rptA_PprQ1E,8871,243,72
4ze-iguca1E,67600,1077,103
ZVlfhJVvjd8,32041,930,57
ZqiP-VSDuvU,32665,876,85
SrZAMIgeDZ8,17551,381,79
K-oKuebOakM,2365,119,51
pH1DlVwijT0,1373,79,31
RFG2iQU8zP0,5018,157,13
IV4BPgWj4Sk,28324,497,107
QjPv5cyiY_E,57487,1955,325
wfyKchK1-oY,4084,43,251
HsY1SX7omSU,308010,7756,459
sQQOsb5O5D0,226570,10037,905
Vjq_9nJsuCk,11982,566,50
zFRZV9ncDr8,8045,394,137
FiDU9t_yLbk,4813,334,27
Cq8QgUPiIkE,3626,148,55
yp5FYBptIQc,540,40,7
qF86PuxmFK0,993,60,16
RCgjNwke9oc,23413,581,103
WJEGLVoSwAk,92143,1471,180
RG6GorR4BNA,38395,1124,97
FIKrtOQMXe0,2100,69,19
2bczncKnjPI,146163,2620,233
-mEmecb91MQ,17614,470,65
j6xODJIDMlk,4098,145,44
wC6KOciADP0,25733,412,219
bFEeP4DrbLc,3748,172,38
WaeA8BOBGjw,7066,268,94
T6U5FAspH6U,14563,357,139
sL_yF8JeX6Q,107188,1553,144
nO263rVKTNc,4519,135,20
AWIqYmJkncY,60563,1202,125
okgXJ5FJlxs,24563,358,47
uVMdj3ajzgI,4075,253,134
mfWyWHZoPRg,9137,401,25
_VCHjrtw7bA,2259,219,64
8XxsQRiyzS8,4204,269,90
KhpB1OV-5oU,1229,53,21
KYQIwUXhDRQ,18537,396,79
8XKd-l4lZZc,9484,191,49
a6uVUSm5QYc,1562,92,36
KvI3OEkYL4A,9337,365,84
PeHX_X4jR_4,1974,44,19
foWS1bvk5Xg,621,20,9
mAX9s8aeDFM,3726,319,103
i1UxFvFWHk8,3037,250,72
gmdYAbvm32Y,1043,74,13
xQtMdNiSXlU,2583,188,29
_Ow7yGR-ySo,5800,349,49
Z9hd4KX1G3Y,4535,94,28
Z71SGgxxcas,22892,593,0
WUT7aBdmKBk,9917,405,217
ijX7huzRkUI,2705,192,16
7ZV0blgps30,3894,98,20
zJgCoiQE-yo,3013,86,19
4P-cCtjWHkE,19884,358,0
AUs6aEaakl4,1563,47,25
cvh0cSLddFk,15844,660,105
PYtqxv5bbjY,26333,517,102
GaxKlSWAE9U,925,41,14
MNCsbfjPc68,335,16,2
1aZblNH361o,5750,311,69
9SJDXgUpuEY,23320,1034,198
3d8oFucVz4g,31643,332,135
dp_m1M7Yn30,5057,96,0
qwjxK-urNvo,58131,615,71
9AYywOvLYb0,15564,375,83
OBzQ9z9yIuI,521,21,13
UthFkV6N9Gc,12691,255,45
jr0XlcFxLH4,8546,299,43
l9mdbhcPWDU,2864,58,15
W9wD47GyDjk,567,23,18
CdWigDCFkhI,850,33,13
_MC3K53FRbg,1817,36,7
d0zi0QHXCiI,2651,99,53
Gin0c8COhSs,814,25,9
BqmsdI98W8U,704,46,24
HlQCejHo2lg,12610,361,68
vTAuqtalEcw,62224,811,118
pcMtoLkyq_A,18600,326,35
_yKjCCFDgl8,13381,233,19
77uNrf-x5t8,13040,255,29
WD23NWQqk4o,6610,208,46
9NUscjF2s6k,1836,106,34
KIO4qyxS9qI,5431,359,63
Fa49uACjB34,68412,2013,131
oHc7ztUmt9M,33606,1085,135
K7fff-RzVAs,9228,266,39
GO86Dfu89FQ,3688,115,21
AGfWGmCt46k,4995,150,36
fCmDShwW_xo,8860,283,33
JaQ3U9a_O_8,28760,754,94
4g5sZ3w9qvY,4261,75,10
rLlpgXLlHQw,13901,287,13
-nSHPyaoE54,19586,380,221
nwCLiX26A7Y,14240,1008,154
gTN6Pb3zBa0,24911,929,321
C0sYuAumTXw,3949,154,20
4rbQMsxQ5Eo,8863,588,160
5DK0SPq4zRw,1756,159,86
rJjI-7JTveo,476,42,7
MUaG1DbMHL8,14688,569,89
68hOr5JFfPo,3956,106,29
iR6h2b8PFKY,4607,197,46
LU1_eh94nnQ,2172,100,20
2GiN6VhfqXY,2150,93,16
oqQwMDptEYA,7239,152,26
zCSxE56VkH8,7447,423,48
deglj8memQg,3564,107,34
REFHwsf2z8U,13965,385,133
_Nsz8x1QDX0,1874,119,72
3Tt8xioiz5o,1596,96,24
L-M-drxABR8,48174,1559,261
Wn9k4zVCTLk,1663,91,24
YGvUztXGtis,3737,275,64
wZwehhsV9Yc,182972,2341,84
af2QAb1-_Yk,241301,3934,229
SqVa0vkJ8Rw,8712,540,24
D50r5BhirhA,11624,511,44
xHC_gJd4q8o,5263,354,23
TnuKAeJE-m0,14554,647,18
h0TeJFL2Bjk,5361,161,13
tL2HkLc-dYI,2483,158,14
tekA2akps9E,4113,214,8
IXfMcSz2mhw,3386,97,12
-VyOmtNx7x0,10273,142,64
puUJSINPbgQ,5879,128,114
GzEDwR-zEr8,4339,201,26
mrKTdo4IFm8,16862,360,94
lnTcNKShAYs,11922,629,67
K7ZW3FGxgsM,19266,591,45
uWAXy5CK3jM,1343,103,11
Q7qU3QUTLLQ,11677,459,57
TQ2EAEC1q8o,10001,492,61
p5n4wjVMgBQ,9682,507,54
656Z4AG4FMg,4322,191,45
Rzt5PIo9jDk,8320,278,42
8RkzQSusQik,2250,199,23
WnTBXOfKX-g,2066,132,17
clwOTT1q6p4,4220,231,32
dY1dq-Jr7Fs,5554,347,45
iiT5AP7KVSY,6203,214,45
gYnP6YEU9n4,3302,146,10
GVWOnTjipYU,7690,316,24
mERBc57aqTU,877,36,10
RATU56d2Owo,6503,355,58
pALYQgqNcx0,14144,1047,57
8j5LVDVzlY4,12274,514,36
-PV5_i_lVmE,1527,58,15
KfnoOIrZXfw,662,50,21
1rEwkzWyXrI,9094,353,13
N42JtG3V6Ow,13622,374,43
0MdmKnVutTI,1827,71,37
UCAxDSsYTV8,3404,147,31
Aq22Qo5L1_4,7497,193,28
GwzXcFbGNwg,16511,1617,190
