Video ID,View Count,Like Count,Comment Count
wKOEMeOz9kI,68443,3904,175
EWxc9jvylKA,101696,2739,233
Oyodf_xMuwI,15255,1219,66
7ZbGZppdhKY,40790,2396,212
bfYMA4ItDPs,101201,2472,120
6My0PpizQ-I,10709,626,81
U63sfKEMjlc,24097,1134,87
f6ewf00cTzY,6411,599,65
WFDr--cisA0,14961,1305,55
Epqn5OeAV9c,9104,829,50
pIU_z8gQSiM,16310,523,20
IDnLLHw-5nc,23810,1131,40
nY-YiI3hP_c,12294,989,74
r5_rGPunG-w,20422,1374,95
MXCU15B3TMo,5722,677,30
0NNToG_7RWY,32835,1459,56
fBCdpWADK5Y,35832,1249,56
pMROnDzH2-M,14203,997,71
VhNezZtj_Fg,23119,1661,147
cQyoDpQuDpI,7745769,75671,4694
SgrfCgr4cyU,3274019,44180,4153
aT6vT_5bXnY,2133707,32949,2504
MovIpxxyOlo,5531963,83046,6983
4DfzRRkiPX4,14745846,153970,15556
gS16butphaA,8982125,107878,12435
FSogD7bAHF8,3687208,78632,3242
VXjrCIcGZmw,3813355,71427,3884
lAMO3loSfQs,5874488,81230,4234
wTlERUE8LVw,7474580,62394,2468
v0NNI5wS_GM,6862851,137829,5338
C__iyWJkjgc,2190980,25403,5635
d1HgbDeYGn0,2975632,38635,2260
bq4AjFOMQXE,5163365,76200,3067
7lrZgWyWBIw,186578,3378,239
l6nVBzWat3g,339135,6363,521
qZepgxbipg8,1573991,32335,2693
toLrmEYv8ZI,2155231,27326,1443
_HcznRJDocE,5474420,79118,6006
X4HpxvL2dno,754716,14925,1058
3pYncauIZ04,916507,14762,1653
8iV0Gnw2IYQ,257929,11349,829
y9gFSwPPQf8,855460,14543,1177
mRnaCEF277o,871816,13023,866
kfVaG74e1Sk,299865,7411,419
CUTOxy-ibU8,2834239,49433,2977
cVw5uPVL4CY,2152782,65805,3815
gJ9rEQGJBF4,1823499,29665,1460
Nk3M8nfWaPY,1660318,24797,1861
uDIWVhClXZs,9950322,125938,9611
5fOTfDE1zG4,6316976,68163,3446
YmemLL-_G24,10106415,134690,6861
_cURRf5FuWk,2759184,46989,3073
Gqk2iu48Oxk,933846,16465,857
8BvdYZ68KEI,15416,1185,267
Wehfazp3HxQ,598194,2729,188
3RLTxHCkD6A,33780,196,4
PvvHNGongz0,1546785,15595,2523
AFOR2qVjR1A,60369,295,518
1-B5LQQ1o8c,91093,568,586
7SKGXkZKjV8,7039,116,26
u_LmQ_vugTI,5582,11,1
tPeVrKKkxCU,548,0,0
A-12WUm-wPE,169028,2043,858
oLqhqPboxwo,996296,11502,2679
SEHcakm-fAc,245070,979,381
9VTu2NoyWaU,18043,126,18
zeMfFczwV8g,96959,575,63
9X6IORMrG8A,133147,1246,1442
0GZvoZUpQrc,298065,2532,668
fCjTmzbvo-8,133160,571,295
AsQRbH-qN8M,13558,314,44
ySAKr4iPUDU,13746,351,30
hriYBkaBf6s,66266,593,489
pgCTIIiwkTk,27126,234,81
o2gEYFrngw8,157001,1203,699
fV6JBvz8bLs,358996,12045,1457
yb7ESpoA8cU,162365,704,309
WPFzs9Wk474,420,2,0
EGVX3qZzZRY,36155,327,24
z-79LVZ934M,8880,95,1
aRXDDX9yr_c,26759,374,104
xmVj8aDf6C8,38826,615,540
gYHzsqeObZw,27971,293,140
8Y5kPjK9ARQ,4328,58,6
hHW7jcALdko,386,43,17
M6wnZCYU-GU,394,22,0
SgqiutNqx-M,677,13,8
LmPFFqJH6Qw,191,3,0
L0kB2UgG7rM,71,0,0
iYQ6rh7JAvQ,514,13,17
gO210j8NUtQ,136,9,11
qrp2h9JhjjY,2967,116,19
68z0w5sU5b8,3292,110,22
8pEocfz8c5k,10777,279,18
BGakwYdbe2M,6403,467,28
zpbBjot4bzQ,16079,707,50
EFNXGJkg-Z4,45561,2673,181
QZsgajZrRXA,18027,836,71
UP_SRh66Q0I,1930,115,14
6S3WSDbaamw,26497,902,54
a5kqCTEuWfU,4451,183,10
hVuYi1Oaxh0,376,17,2
BUbieeQkJhg,762,37,16
g9djczZWgIE,27237,1210,65
7uXjHV-dQyk,326,21,3
cPdIKW1T2do,70685,2572,68
zgE9h0PPY5M,91071,2925,58
0wmL2otfcdU,5022,208,23
TeeOsth2t-Q,4083,178,9
MsnU_rv9cwg,28224,1055,55
-e_64O1juxA,22340,719,51
0nWyGsI1vWw,9384,360,7
BVwdY6WkGxI,1506,67,3
XX8bltC9TvQ,31367,1039,25
8TuUeyC25hM,18763,224,45
Vo1MZ8qqzQo,28919,505,18
XkJTV_BftVQ,2808,369,81
mTmgaxtgSJ8,1980,68,7
aW7yOQMKRFM,809015,27860,1462
aGd8k3UwPCg,672,51,15
zxwRkpBUczo,11720,416,23
5Rb7adnfzZ4,611,33,3
rx-PMsrqSwU,3713,197,15
Unrf5IT1Rt8,1199,24,1
SXb7FGWEFec,14382,262,8
qbSXdGWTGBM,450,12,2
eTEqly7UAKs,1656,63,7
IxzFGfQncUQ,882,46,23
vOKHh3QY9HU,13123,416,16
gMDArNX93tQ,11683,593,20
iV-dB7nHDq0,451,24,2
hQAG3DnkmIs,8756,170,9
