Video Id,Channel Id
18Iluqov9Xk,UCv4DCWW6mt16kixPUSysKKQ
18oXZbC_RYI,UCAUgY9e_n2DhyZTgvPRoJnQ
196oXdYgBEs,UCO5Jeark1e_JP36mY3ua19g
1A-RhyuOLYI,UCKd9gq6eJCV7j5FO75q2_Fg
1C753eMNsKg,UCeJ5AjddCuEnZxtUggbzeDA
1Ccsgr9T69Q,UCHeFV2atoLtgdKH4iu29orA
1D9m0RkEwTg,UC6_2wj3vR_j5EiqB-hZ7BUA
1FJE4khqN8c,UCCgVh36x3hbuRnHMpwl443Q
1GHM1QQDSrI,UCeJ5AjddCuEnZxtUggbzeDA
1HEOo6a91yY,UCU1wi0E8d98o0KTaOGJbieg
1Kd2j0RUjrg,UCP_y6xg3u3hF3pskXosMQyQ
1Kgct3YJoJU,UC8u9rhEMQ1dN4nUW9hLS21g
1MCRXw7u1qs,UCAUgY9e_n2DhyZTgvPRoJnQ
1MNqENRG1Bk,UC_nGEYgqzTuyFbHCZELMC2w
1QHRFZwKSMw,UCPAz3hWHiBC-c1x4K0-atsg
1REnqKrSTls,UCPAz3hWHiBC-c1x4K0-atsg
1Ucsm6J24Us,UCkI3oDLbB2K0iQWXvPnKvmw
1WH_VEicE-8,UCqdBWKP4_8bU-Rsk2LvVz6Q
1YXmTTKljwk,UCu69sXEA647BkACmLf1Zh7A
1aZ4UYjlHEA,UCb8sNZ__4nIeXo7CLVIdsMw
1e0Aed3Xx2c,UCPAz3hWHiBC-c1x4K0-atsg
1fSsyZeYVp8,UCAWiZqZlnpD50X_DNIgY2tg
1fX8P6jZIGE,UCQYkvXhPNaRxlu-jAI5_5Zg
1hCuqLQfmRw,UClxWKvWC-xiJ9FlUkPn7xnw
1hR4G8d9WQ8,UCVv-y0k91qAA-uI_K46UBvg
1kErCqgIVMk,UC1MNjDRpoEsl_tiogaRYt1A
1kqTWaM9FsY,UCTPxMCyJyYGF6H0eBhOvgsA
1o_Zw6LbLnU,UCjq1ddBxopU2uW7efYz5_9w
1qa9wW9Qghs,UCO5Jeark1e_JP36mY3ua19g
1qe4A4gGhIA,UCSvaH7DbguYJcp8PHTTv1Zw
1qvAJGZYr3E,UCbfLaTfmCeR2aykiRSGBbTQ
1rlXGI3NnTU,UCG57u0jfLpuPuCAHRUtTxdg
1rvvN5No_Yk,UCoWQLZoPwn3mJ-oiPrwDpbA
1yG9Kki_BNg,UCvG1JotA9_B1y8Mo5_ePOfw
1zHTRAYF5F0,UCXV-Jt3UPJPstvLVx6A1Z7Q
20SwObTtOB8,UC5jf0svsfoB3QE9jrxk7PdQ
227xidPFDng,UChIGU8b4l5cj6i5D9REsqdg
23GYjckuz9E,UCcaIZBgmiYTJP9fpO_xjMTQ
23GlZtU6eVY,UCkI3oDLbB2K0iQWXvPnKvmw
23L8K7nOG_c,UCig5Kw1Z2cLtSv0D-Fu8I8g
23cDngtz2Mo,UCpcVjkwSeZG6GJvLsIxK5Yw
255FPlIIomg,UCobYD8WgP3GPOqgvXF2Yy1w
27DfJdlizR8,UC1SPkZIRegQ1uk48qoPLz5Q
27yofdZnH9s,UCf8njWwyxdHr0q9Fg8mFmRQ
28K1KJwvuBI,UCqNZ2sjaVxkaZ7GlAyaKlXQ
29tdn7VHGOY,UCZfYUKBwN396zj6I3DA2k0A
2ANT-UEHGLc,UC1LlKAwycO8TjYKJIQo2QZA
2CLpCOnn-tk,UCCRUTTLI1JDmLBkTBf8ekCg
2DBEblhgaJk,UCAUgY9e_n2DhyZTgvPRoJnQ
2DIqmd6yQBY,UC5jf0svsfoB3QE9jrxk7PdQ
2D_v3mrBmGI,UCO5Jeark1e_JP36mY3ua19g
2E-52BubRvM,UCPAz3hWHiBC-c1x4K0-atsg
2Emt_xXktmI,UCYuOZy_oPeZL_1BdHxf-Y2Q
2FHnLyeuvt0,UC34uT3C8-_AyHTLnZxdzIuw
2Fb8gaX-PFs,UCilyWAYEBfQTJ9DhuVsh_NA
2G4w9gH8iEs,UCLNoXf8gq6vhwsrYp-l0J-Q
2GS8wQxCC9M,UCPAz3hWHiBC-c1x4K0-atsg
2HpGUdqGwdc,UC4Sd8qBTVn8zoP9bd6isPDQ
2I0UVHXizcA,UCmw9oO138A4WRUbOZyUGhHA
2IhEU5rzUOE,UC_hN8xs99S6jnMdYCuJgoJA
2JF7m9fNMBo,UCjpmc-iZPgIlu-MIurDRlYA
2KmDs7fyymk,UCzfEqx1_-zs2xUUzI3jVRSg
2MJvug6QOgA,UCzqbfYjQmf9nLQPMxVgPhiA
2OT5Pcl4iF0,UCUI4T7riAxLPSV4htxMFLqw
2Ol8aJTPEl4,UCW0ulUd4BZY4k_vHqLFWTuw
2P1ccsT_vKk,UCt9BTGSxATM6axwfTY4KnEg
2PUZu5SE83s,UCYY2mNcq7pv6IRW92JIT6DA
2Pn0MNwUjM0,UCCSqnDlJAdeJkVvJtOE6cVQ
2S4TBBvNJ7E,UCgYGSGVlws9VF1Z1u4rNPaw
2S5dxNFf9zM,UCi9mzS8H-ez_30w5SCL2dmw
2TETrMU1Q3I,UCTSoA4nbjpOeoWQ_ClHsHSQ
2TZut-fFaII,UCVv-y0k91qAA-uI_K46UBvg
2TghJw4IZZ0,UC6WCc8tJw_9zU9HZ9mNpmBw
